1672531200000,29500,29600,29450,29550,100
1672534800000,29550,29750,29550,29700,120
1672538400000,29700,29800,29650,29780,150
1672542000000,29780,29790,29680,29710,95
1672545600000,29710,29850,29705,29825,110
1672549200000,29825,29900,29800,29880,130
1672552800000,29880,30000,29850,29950,160
1672556400000,29950,30100,29920,30050,180
1672560000000,30050,30150,30000,30120,170
1672563600000,30120,30200,30100,30180,140
1672567200000,30180,30190,30080,30100,120
1672570800000,30100,30150,30050,30080,110
1672574400000,30080,30120,30000,30020,100
1672578000000,30020,30050,29950,29980,90
1672581600000,29980,30000,29880,29900,130
1672585200000,29900,29950,29850,29870,140
1672588800000,29870,29900,29800,29820,150
1672592400000,29820,29850,29750,29780,160
1672596000000,29780,29800,29700,29720,170
1672599600000,29720,29750,29650,29680,180
1672603200000,29680,29800,29680,29750,190
1672606800000,29750,29900,29750,29880,200
1672610400000,29880,30000,29880,29950,210
1672614000000,29950,30100,29950,30050,220
1672617600000,30050,30200,30050,30180,230
1672621200000,30180,30300,30180,30250,240
1672624800000,30250,30400,30250,30380,250
1672628400000,30380,30500,30380,30450,260
1672632000000,30450,30600,30450,30580,270
1672635600000,30580,30700,30580,30650,280
